datetime,sym,price,size
2025.05.05D13:30:01.715116996,IBM,243.74,1
2025.05.05D13:30:01.717351401,IBM,243.74,1
2025.05.05D13:30:01.718668515,IBM,243.74,1
2025.05.05D13:30:01.720899778,IBM,243.74,1
2025.05.05D13:30:01.722301133,IBM,243.74,1
2025.05.05D13:30:01.741528916,IBM,243.74,1
2025.05.05D13:30:01.743426483,IBM,243.74,1
2025.05.05D13:30:01.746571931,IBM,243.74,1
2025.05.05D13:30:01.747795855,IBM,243.74,1
2025.05.05D13:30:01.749055880,IBM,243.74,1
2025.05.05D13:30:01.750962446,IBM,243.74,1
2025.05.05D13:30:01.752598284,IBM,243.74,1
2025.05.05D13:30:01.754715350,IBM,243.74,1
2025.05.05D13:30:01.755509340,IBM,243.74,1
2025.05.05D13:30:01.757629264,IBM,243.74,1
2025.05.05D13:30:01.758669735,IBM,243.74,1
